ID,vote,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
9571,No,Rural,Yes,3,62,Male,Head of Household,Married/Living together,No formal education,Informally employed
9572,No,Rural,Yes,9,38,Female,Spouse,Married/Living together,No formal education,Informally employed
9573,No,Rural,Yes,6,39,Female,Spouse,Married/Living together,Primary education,Informally employed
9574,No,Urban,Yes,3,26,Female,Spouse,Single/Never Married,Primary education,No Income
9575,No,Urban,Yes,6,20,Female,Parent,Divorced/Seperated,Tertiary education,No Income
9576,No,Rural,No,5,16,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
9577,No,Rural,No,3,27,Male,Head of Household,Married/Living together,No formal education,Informally employed
9578,No,Rural,No,1,80,Female,Head of Household,Widowed,No formal education,Remittance Dependent
9579,No,Rural,Yes,5,27,Female,Head of Household,Married/Living together,Primary education,Informally employed
9580,No,Urban,Yes,2,24,Female,Spouse,Single/Never Married,Primary education,Informally employed
9581,No,Rural,No,1,64,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
9582,No,Urban,Yes,4,30,Male,Head of Household,Married/Living together,Primary education,Self employed
9583,Yes,Urban,Yes,5,29,Male,Child,Single/Never Married,Tertiary education,Formally employed Private
9584,No,Rural,Yes,7,63,Male,Head of Household,Married/Living together,No formal education,Informally employed
9585,Yes,Urban,Yes,1,50,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
9586,No,Rural,No,4,32,Female,Spouse,Married/Living together,Primary education,Informally employed
9587,No,Urban,No,3,59,Female,Head of Household,Widowed,Primary education,Informally employed
9588,No,Urban,No,2,78,Male,Head of Household,Single/Never Married,Primary education,Self employed
9589,No,Urban,Yes,6,32,Female,Spouse,Married/Living together,Primary education,Self employed
9590,No,Rural,Yes,6,30,Female,Spouse,Married/Living together,Primary education,Self employed
9591,No,Rural,Yes,7,31,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
9592,No,Rural,Yes,3,21,Male,Parent,Divorced/Seperated,Tertiary education,Remittance Dependent
9593,No,Rural,No,7,56,Male,Head of Household,Married/Living together,Primary education,Informally employed
9594,Yes,Urban,Yes,3,52,Female,Head of Household,Married/Living together,Vocational/Specialised training,Self employed
9595,Yes,Rural,Yes,1,25,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Private
9596,No,Rural,Yes,5,29,Male,Head of Household,Married/Living together,Primary education,Self employed
9597,No,Rural,Yes,4,23,Female,Spouse,Married/Living together,Primary education,Self employed
9598,No,Rural,Yes,3,42,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
9599,No,Rural,Yes,1,44,Male,Head of Household,Single/Never Married,Primary education,Self employed
9600,No,Urban,Yes,2,24,Female,Parent,Married/Living together,Primary education,Self employed
9601,Yes,Urban,Yes,3,28,Male,Head of Household,Married/Living together,Tertiary education,Informally employed
9602,No,Rural,Yes,8,60,Male,Head of Household,Married/Living together,Primary education,Self employed
9603,Yes,Urban,Yes,7,42,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Government
9604,No,Rural,No,3,44,Female,Head of Household,Widowed,No formal education,Farming and Fishing
9605,No,Rural,Yes,3,51,Male,Head of Household,Single/Never Married,Primary education,Informally employed
9606,No,Urban,Yes,13,64,Female,Head of Household,Married/Living together,Secondary education,Self employed
9607,No,Rural,Yes,6,51,Female,Head of Household,Widowed,No formal education,Farming and Fishing
9608,No,Urban,No,4,50,Female,Spouse,Married/Living together,No formal education,Other Income
9609,No,Rural,No,6,42,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
9610,No,Rural,No,6,33,Male,Head of Household,Married/Living together,Secondary education,Self employed
9611,No,Rural,Yes,2,23,Female,Spouse,Single/Never Married,Primary education,No Income
9612,No,Urban,No,4,18,Female,Parent,Divorced/Seperated,Secondary education,Remittance Dependent
9613,No,Rural,Yes,5,22,Female,Parent,Divorced/Seperated,Tertiary education,No Income
9614,No,Urban,Yes,6,35,Female,Spouse,Single/Never Married,Primary education,Self employed
9615,No,Rural,No,2,17,Male,Other relative,Single/Never Married,Primary education,Remittance Dependent
9616,No,Rural,No,7,19,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
9617,No,Rural,Yes,7,37,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
9618,Yes,Rural,Yes,4,28,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
9619,No,Rural,Yes,4,52,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
9620,No,Urban,No,1,35,Female,Head of Household,Married/Living together,Primary education,Self employed
9621,No,Rural,Yes,4,19,Female,Child,Single/Never Married,Primary education,Farming and Fishing
9622,No,Rural,Yes,4,29,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
9623,Yes,Rural,Yes,2,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
9624,No,Urban,Yes,1,71,Female,Head of Household,Widowed,Primary education,Self employed
9625,No,Rural,Yes,3,21,Female,Child,Single/Never Married,Primary education,Informally employed
9626,Yes,Rural,Yes,6,40,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
9627,No,Rural,Yes,6,17,Male,Child,Single/Never Married,Primary education,Informally employed
9628,No,Rural,Yes,3,33,Male,Head of Household,Married/Living together,Primary education,Informally employed
9629,No,Rural,Yes,3,57,Female,Head of Household,Widowed,No formal education,Farming and Fishing
9630,Yes,Urban,Yes,4,59,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
9631,No,Urban,No,2,52,Male,Head of Household,Single/Never Married,Primary education,Self employed
9632,No,Rural,No,6,31,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
9633,No,Urban,Yes,2,37,Male,Head of Household,Single/Never Married,Primary education,Self employed
9634,No,Rural,No,1,59,Male,Head of Household,Widowed,No formal education,Farming and Fishing
9635,No,Rural,No,1,71,Female,Head of Household,Divorced/Seperated,No formal education,Remittance Dependent
9636,No,Rural,Yes,1,43,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
9637,No,Urban,No,4,42,Male,Head of Household,Married/Living together,Secondary education,Informally employed
9638,Yes,Rural,Yes,5,39,Male,Head of Household,Married/Living together,Vocational/Specialised training,Other Income
9639,No,Urban,Yes,2,22,Male,Head of Household,Single/Never Married,Primary education,Self employed
9640,Yes,Urban,Yes,6,37,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
9641,No,Urban,No,2,30,Female,Other relative,Single/Never Married,Primary education,Remittance Dependent
9642,Yes,Urban,Yes,3,26,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Private
9643,No,Rural,Yes,2,73,Female,Head of Household,Widowed,Primary education,Farming and Fishing
9644,No,Rural,No,3,50,Female,Spouse,Widowed,Primary education,Informally employed
9645,Yes,Urban,Yes,1,24,Female,Head of Household,Divorced/Seperated,Tertiary education,Formally employed Private
9646,No,Urban,No,1,38,Female,Head of Household,Single/Never Married,Primary education,Self employed
9647,No,Rural,Yes,9,21,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
9648,No,Urban,Yes,2,28,Female,Spouse,Single/Never Married,Primary education,Self employed
9649,No,Rural,Yes,5,33,Female,Child,Single/Never Married,Primary education,Farming and Fishing
9650,Yes,Rural,Yes,2,25,Male,Head of Household,Divorced/Seperated,Secondary education,Self employed
9651,No,Urban,Yes,3,41,Male,Head of Household,Married/Living together,Primary education,Self employed
9652,No,Rural,Yes,4,37,Male,Head of Household,Married/Living together,No formal education,Informally employed
9653,No,Rural,Yes,4,35,Female,Spouse,Married/Living together,Primary education,Informally employed
9654,No,Rural,Yes,4,24,Female,Spouse,Married/Living together,Primary education,Informally employed
9655,No,Rural,No,1,67,Female,Head of Household,Widowed,No formal education,Informally employed
9656,No,Rural,Yes,5,56,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
9657,Yes,Rural,Yes,7,57,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
9658,No,Rural,Yes,5,65,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
9659,Yes,Rural,Yes,1,28,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
9660,No,Urban,Yes,6,31,Female,Spouse,Married/Living together,Primary education,Formally employed Government
9661,No,Rural,No,1,72,Male,Head of Household,Widowed,No formal education,Remittance Dependent
9662,No,Rural,No,11,40,Female,Spouse,Married/Living together,Primary education,Self employed
9663,No,Rural,Yes,2,63,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
9664,Yes,Rural,Yes,4,53,Female,Head of Household,Widowed,No formal education,Farming and Fishing
9665,No,Urban,Yes,3,18,Male,Parent,Divorced/Seperated,Primary education,Self employed
9666,No,Rural,Yes,3,30,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
9667,No,Urban,Yes,5,40,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
9668,No,Urban,No,2,59,Male,Head of Household,Married/Living together,Primary education,Self employed
9669,No,Urban,Yes,2,67,Female,Spouse,Single/Never Married,Primary education,Self employed
9670,No,Rural,Yes,4,22,Female,Spouse,Married/Living together,Primary education,Self employed
9671,No,Urban,Yes,5,28,Male,Head of Household,Married/Living together,No formal education,Other Income
9672,No,Rural,Yes,4,22,Female,Parent,Married/Living together,Secondary education,Farming and Fishing
9673,No,Rural,No,4,16,Male,Parent,Single/Never Married,Secondary education,Self employed
9674,Yes,Rural,Yes,2,63,Male,Head of Household,Widowed,Tertiary education,Farming and Fishing
9675,No,Urban,No,5,19,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
9676,No,Rural,No,4,59,Male,Spouse,Married/Living together,Primary education,Informally employed
9677,No,Rural,Yes,2,30,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
9678,No,Urban,No,2,30,Female,Spouse,Single/Never Married,Primary education,Self employed
9679,Yes,Rural,Yes,2,28,Female,Child,Single/Never Married,Secondary education,Self employed
9680,No,Rural,No,1,70,Male,Head of Household,Widowed,Primary education,Remittance Dependent
9681,No,Urban,Yes,4,30,Male,Head of Household,Married/Living together,Primary education,Informally employed
9682,No,Urban,Yes,3,35,Male,Head of Household,Single/Never Married,Primary education,Self employed
9683,No,Rural,Yes,2,26,Female,Head of Household,Single/Never Married,Secondary education,Farming and Fishing
9684,No,Rural,Yes,4,38,Female,Head of Household,Divorced/Seperated,Secondary education,Self employed
9685,No,Rural,Yes,5,32,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
9686,No,Rural,Yes,2,65,Female,Head of Household,Widowed,Primary education,Self employed
9687,Yes,Urban,Yes,1,42,Female,Head of Household,Single/Never Married,Primary education,Self employed
9688,No,Rural,Yes,4,30,Male,Head of Household,Married/Living together,Secondary education,Self employed
9689,Yes,Rural,Yes,6,33,Male,Head of Household,Married/Living together,Primary education,Informally employed
9690,No,Urban,No,2,18,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
9691,No,Rural,Yes,5,41,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
9692,No,Rural,Yes,1,38,Male,Head of Household,Divorced/Seperated,Secondary education,Informally employed
9693,Yes,Rural,Yes,6,34,Male,Head of Household,Married/Living together,Primary education,Self employed
9694,No,Rural,Yes,7,35,Male,Head of Household,Married/Living together,Primary education,Self employed
9695,No,Urban,Yes,2,60,Female,Child,Married/Living together,No formal education,No Income
9696,Yes,Rural,Yes,3,40,Male,Head of Household,Single/Never Married,Secondary education,Farming and Fishing
9697,Yes,Urban,Yes,6,32,Male,Head of Household,Married/Living together,Secondary education,Self employed
9698,No,Rural,Yes,5,32,Male,Head of Household,Married/Living together,Primary education,Informally employed
9699,No,Urban,No,1,65,Female,Head of Household,Widowed,No formal education,No Income
9700,No,Rural,Yes,2,55,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
9701,No,Rural,Yes,2,25,Male,Head of Household,Married/Living together,No formal education,Informally employed
9702,No,Rural,Yes,7,37,Female,Spouse,Married/Living together,Primary education,Self employed
9703,No,Rural,No,4,19,Male,Child,Single/Never Married,Secondary education,Informally employed
9704,No,Rural,Yes,2,37,Female,Head of Household,Single/Never Married,No formal education,Farming and Fishing
9705,No,Urban,No,3,41,Female,Head of Household,Single/Never Married,Primary education,Self employed
9706,No,Rural,Yes,7,70,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
9707,Yes,Urban,Yes,5,70,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
9708,No,Urban,No,4,17,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
9709,Yes,Urban,Yes,2,25,Female,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
9710,Yes,Rural,Yes,3,30,Female,Spouse,Single/Never Married,Primary education,Self employed
9711,No,Rural,Yes,5,16,Male,Child,Single/Never Married,Primary education,Other Income
9712,No,Rural,Yes,1,30,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
9713,No,Urban,No,2,48,Female,Spouse,Single/Never Married,Primary education,No Income
9714,No,Urban,Yes,3,38,Female,Spouse,Married/Living together,Secondary education,Informally employed
9715,No,Rural,Yes,1,22,Female,Head of Household,Divorced/Seperated,Tertiary education,Formally employed Private
9716,Yes,Rural,Yes,5,59,Female,Child,Widowed,No formal education,Farming and Fishing
9717,Yes,Rural,Yes,6,23,Female,Child,Married/Living together,Secondary education,Formally employed Private
9718,No,Rural,Yes,3,48,Female,Head of Household,Widowed,Primary education,Farming and Fishing
9719,No,Rural,Yes,3,35,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
9720,No,Urban,Yes,2,53,Male,Head of Household,Single/Never Married,Primary education,Self employed
9721,No,Rural,Yes,5,65,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
9722,No,Urban,Yes,1,31,Female,Head of Household,Single/Never Married,Primary education,Informally employed
9723,No,Urban,Yes,4,63,Male,Head of Household,Single/Never Married,Primary education,Remittance Dependent
9724,No,Rural,Yes,3,45,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
9725,Yes,Rural,Yes,1,64,Female,Head of Household,Widowed,Primary education,Farming and Fishing
9726,No,Rural,Yes,6,30,Female,Spouse,Married/Living together,Primary education,Other Income
9727,Yes,Rural,Yes,3,53,Female,Head of Household,Single/Never Married,Tertiary education,Informally employed
9728,No,Rural,Yes,2,37,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing
9729,No,Rural,Yes,3,26,Male,Head of Household,Married/Living together,Secondary education,Self employed
9730,Yes,Rural,Yes,2,38,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Self employed
9731,No,Urban,No,2,35,Female,Head of Household,Single/Never Married,Primary education,Self employed
9732,No,Urban,Yes,4,73,Female,Parent,Widowed,Secondary education,Remittance Dependent
9733,No,Urban,No,3,16,Female,Other relative,Single/Never Married,Primary education,No Income
9734,No,Rural,No,2,16,Female,Parent,Divorced/Seperated,Tertiary education,Remittance Dependent
9735,No,Rural,Yes,7,43,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
9736,No,Rural,No,9,28,Female,Spouse,Married/Living together,No formal education,Informally employed
9737,No,Urban,Yes,4,65,Female,Spouse,Single/Never Married,Primary education,Self employed
9738,No,Rural,Yes,2,22,Female,Other relative,Married/Living together,Primary education,Remittance Dependent
9739,No,Rural,Yes,5,32,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
9740,No,Rural,Yes,5,38,Female,Spouse,Married/Living together,Vocational/Specialised training,Self employed
9741,No,Rural,Yes,2,32,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
9742,No,Rural,No,2,24,Female,Spouse,Single/Never Married,Tertiary education,Remittance Dependent
9743,No,Rural,Yes,9,34,Female,Spouse,Married/Living together,No formal education,Informally employed
9744,No,Urban,No,2,45,Female,Spouse,Single/Never Married,No formal education,Self employed
9745,No,Rural,Yes,9,46,Male,Head of Household,Married/Living together,No formal education,Informally employed
9746,No,Rural,Yes,3,33,Female,Spouse,Married/Living together,Primary education,Informally employed
9747,No,Rural,Yes,2,75,Female,Head of Household,Divorced/Seperated,No formal education,Government Dependent
9748,No,Urban,Yes,2,49,Female,Spouse,Single/Never Married,Primary education,Self employed
9749,No,Rural,Yes,5,31,Female,Child,Single/Never Married,Primary education,Farming and Fishing
9750,No,Urban,Yes,3,24,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
9751,No,Rural,Yes,7,65,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
9752,No,Rural,No,2,75,Female,Head of Household,Widowed,No formal education,Farming and Fishing
9753,No,Rural,Yes,1,33,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
9754,No,Urban,Yes,4,53,Male,Head of Household,Single/Never Married,Primary education,Self employed
9755,No,Urban,Yes,1,48,Female,Head of Household,Single/Never Married,Primary education,Self employed
9756,No,Urban,No,6,16,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
9757,No,Urban,Yes,2,47,Female,Spouse,Single/Never Married,Tertiary education,Self employed
9758,No,Rural,No,4,34,Male,Head of Household,Married/Living together,Primary education,Other Income
9759,No,Urban,No,5,60,Female,Other relative,Widowed,Primary education,No Income
9760,No,Rural,No,7,48,Male,Head of Household,Married/Living together,No formal education,Dont Know/Refuse to answer
9761,No,Urban,Yes,1,29,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
9762,No,Rural,Yes,4,23,Male,Child,Single/Never Married,Primary education,Other Income
9763,No,Rural,Yes,4,22,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
9764,No,Rural,Yes,4,26,Female,Spouse,Married/Living together,Primary education,Informally employed
9765,No,Rural,Yes,6,45,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
9766,No,Urban,No,2,21,Female,Spouse,Single/Never Married,Primary education,No Income
9767,No,Urban,No,2,74,Male,Head of Household,Married/Living together,Primary education,Self employed
9768,No,Urban,No,3,50,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
9769,No,Rural,Yes,2,20,Female,Parent,Single/Never Married,Primary education,Farming and Fishing
9770,No,Rural,Yes,3,29,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
9771,No,Rural,Yes,4,78,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
9772,No,Rural,Yes,4,20,Female,Child,Single/Never Married,Primary education,Farming and Fishing
9773,No,Urban,Yes,5,34,Female,Spouse,Married/Living together,Primary education,Self employed
9774,No,Rural,Yes,3,49,Female,Child,Single/Never Married,Primary education,Informally employed
9775,No,Urban,Yes,8,35,Male,Head of Household,Married/Living together,Primary education,Self employed
9776,No,Urban,Yes,2,72,Male,Head of Household,Single/Never Married,Primary education,Remittance Dependent
9777,Yes,Rural,Yes,2,40,Female,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
9778,No,Rural,Yes,6,38,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
9779,No,Rural,Yes,3,28,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
9780,No,Urban,No,2,47,Female,Head of Household,Widowed,No formal education,Self employed
9781,No,Rural,Yes,2,36,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing
9782,No,Rural,No,1,50,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
9783,No,Urban,Yes,5,27,Male,Other relative,Single/Never Married,Secondary education,Other Income
9784,No,Urban,No,3,66,Female,Head of Household,Widowed,No formal education,Remittance Dependent
9785,No,Rural,Yes,4,25,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
9786,No,Urban,Yes,3,45,Female,Head of Household,Widowed,No formal education,Formally employed Private
9787,No,Rural,Yes,7,17,Female,Child,Single/Never Married,Primary education,Dont Know/Refuse to answer
9788,Yes,Urban,Yes,5,50,Male,Head of Household,Married/Living together,Secondary education,Informally employed
9789,Yes,Rural,Yes,5,37,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
9790,No,Rural,No,8,16,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
9791,No,Rural,No,5,40,Female,Spouse,Married/Living together,Secondary education,Informally employed
9792,No,Rural,No,4,69,Female,Head of Household,Widowed,Primary education,Self employed
9793,No,Urban,No,3,27,Female,Spouse,Single/Never Married,Primary education,Self employed
9794,Yes,Urban,Yes,1,46,Female,Head of Household,Married/Living together,No formal education,Self employed
9795,Yes,Rural,Yes,5,28,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Government
9796,No,Rural,Yes,3,30,Female,Spouse,Single/Never Married,Primary education,Self employed
9797,No,Rural,No,8,17,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
9798,No,Urban,Yes,2,56,Male,Head of Household,Single/Never Married,Primary education,Informally employed
9799,No,Rural,Yes,6,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
9800,No,Rural,Yes,7,23,Female,Child,Married/Living together,Secondary education,Farming and Fishing
9801,No,Urban,Yes,1,26,Male,Head of Household,Divorced/Seperated,Secondary education,Self employed
9802,No,Urban,Yes,1,20,Male,Head of Household,Single/Never Married,Primary education,Informally employed
9803,No,Urban,No,1,63,Female,Head of Household,Married/Living together,No formal education,Self employed
9804,No,Urban,No,4,17,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
9805,No,Rural,Yes,4,18,Female,Other relative,Single/Never Married,Primary education,Self employed
9806,No,Rural,Yes,2,48,Male,Head of Household,Married/Living together,Primary education,Informally employed
9807,Yes,Urban,Yes,1,79,Female,Head of Household,Widowed,Primary education,Government Dependent
9808,No,Rural,Yes,6,34,Female,Spouse,Married/Living together,Primary education,Informally employed
9809,No,Rural,Yes,2,20,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
9810,No,Urban,Yes,2,32,Female,Spouse,Single/Never Married,Primary education,Self employed
9811,No,Rural,No,5,53,Female,Head of Household,Widowed,No formal education,No Income
9812,No,Rural,Yes,5,44,Male,Head of Household,Married/Living together,Secondary education,Other Income
9813,No,Rural,No,2,24,Female,Spouse,Married/Living together,Primary education,Informally employed
9814,No,Rural,Yes,4,35,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
9815,No,Rural,Yes,5,30,Male,Head of Household,Married/Living together,Primary education,Self employed
9816,No,Rural,Yes,2,24,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
9817,No,Rural,Yes,4,43,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
9818,No,Urban,Yes,3,67,Male,Head of Household,Single/Never Married,Secondary education,Self employed
9819,No,Urban,No,2,36,Male,Head of Household,Single/Never Married,No formal education,Self employed
9820,No,Rural,No,2,73,Male,Head of Household,Married/Living together,No formal education,Informally employed
9821,No,Urban,Yes,3,25,Female,Spouse,Married/Living together,Secondary education,Other Income
9822,Yes,Rural,Yes,1,48,Female,Head of Household,Divorced/Seperated,Primary education,Formally employed Private
9823,No,Rural,Yes,3,66,Female,Head of Household,Widowed,Primary education,Farming and Fishing
9824,No,Rural,No,3,22,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
9825,Yes,Urban,Yes,1,26,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
9826,No,Rural,Yes,4,57,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
9827,No,Rural,No,4,16,Male,Child,Single/Never Married,Primary education,No Income
9828,No,Urban,No,2,50,Male,Head of Household,Single/Never Married,Primary education,Self employed
9829,No,Rural,No,2,58,Male,Head of Household,Single/Never Married,Primary education,Self employed
9830,No,Rural,No,5,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
9831,No,Rural,No,2,20,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
9832,No,Urban,Yes,2,25,Female,Spouse,Single/Never Married,Primary education,Self employed
9833,No,Urban,Yes,2,39,Female,Other non-relatives,Single/Never Married,Primary education,Formally employed Private
9834,No,Rural,Yes,4,83,Female,Spouse,Married/Living together,No formal education,Remittance Dependent
9835,No,Rural,Yes,7,49,Female,Spouse,Married/Living together,Primary education,Self employed
9836,No,Rural,Yes,3,26,Male,Other non-relatives,Single/Never Married,Primary education,Informally employed
9837,No,Urban,Yes,1,58,Female,Head of Household,Married/Living together,Primary education,Other Income
9838,No,Rural,Yes,5,18,Male,Child,Single/Never Married,Primary education,Farming and Fishing
9839,No,Rural,Yes,3,30,Female,Spouse,Married/Living together,Secondary education,Self employed
9840,No,Rural,Yes,1,38,Male,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
9841,No,Rural,Yes,3,20,Female,Spouse,Married/Living together,Secondary education,Informally employed
9842,No,Rural,Yes,5,50,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
9843,Yes,Urban,Yes,3,33,Female,Head of Household,Married/Living together,Secondary education,Remittance Dependent
9844,No,Urban,No,2,22,Male,Head of Household,Single/Never Married,No formal education,Informally employed
9845,No,Urban,Yes,5,35,Female,Head of Household,Married/Living together,Secondary education,Informally employed
9846,No,Rural,Yes,4,39,Female,Parent,Divorced/Seperated,Secondary education,Farming and Fishing
9847,No,Rural,Yes,16,28,Female,Spouse,Married/Living together,No formal education,Self employed
9848,No,Rural,Yes,5,23,Female,Head of Household,Married/Living together,Secondary education,Self employed
9849,No,Rural,Yes,3,41,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
9850,No,Rural,Yes,9,32,Male,Child,Married/Living together,Vocational/Specialised training,Farming and Fishing
9851,No,Rural,Yes,11,50,Male,Head of Household,Married/Living together,Primary education,Self employed
9852,Yes,Rural,Yes,5,38,Male,Head of Household,Married/Living together,Primary education,Informally employed
9853,No,Urban,No,2,65,Male,Head of Household,Single/Never Married,Primary education,Self employed
9854,No,Urban,Yes,2,29,Male,Head of Household,Single/Never Married,Primary education,Self employed
9855,No,Urban,No,3,60,Male,Head of Household,Single/Never Married,No formal education,Informally employed
9856,No,Rural,Yes,1,19,Male,Head of Household,Divorced/Seperated,Secondary education,Informally employed
9857,Yes,Rural,Yes,4,36,Male,Head of Household,Married/Living together,Primary education,Self employed
9858,No,Rural,No,4,23,Female,Spouse,Married/Living together,Primary education,No Income
9859,No,Rural,No,1,64,Female,Head of Household,Widowed,Primary education,Farming and Fishing
9860,No,Rural,Yes,5,59,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
9861,No,Rural,No,5,27,Female,Spouse,Married/Living together,Primary education,Informally employed
9862,No,Rural,No,12,41,Female,Other relative,Widowed,Primary education,Self employed
9863,No,Urban,Yes,6,26,Female,Spouse,Married/Living together,Secondary education,Informally employed
9864,No,Urban,No,1,45,Female,Head of Household,Single/Never Married,Primary education,Self employed
9865,No,Urban,Yes,3,29,Female,Head of Household,Divorced/Seperated,Vocational/Specialised training,Informally employed
9866,No,Rural,No,5,16,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
9867,No,Rural,No,1,69,Female,Head of Household,Widowed,Primary education,Farming and Fishing
9868,No,Rural,Yes,1,53,Female,Head of Household,Widowed,No formal education,Informally employed
9869,No,Urban,No,2,60,Female,Parent,Widowed,No formal education,Government Dependent
9870,No,Urban,No,2,20,Female,Spouse,Single/Never Married,Primary education,Self employed
9871,No,Rural,Yes,3,60,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
9872,No,Rural,Yes,4,35,Male,Head of Household,Married/Living together,Primary education,Informally employed
9873,Yes,Rural,Yes,4,19,Male,Child,Single/Never Married,Primary education,Farming and Fishing
9874,No,Urban,Yes,5,55,Male,Head of Household,Married/Living together,Primary education,Informally employed
9875,No,Rural,Yes,5,56,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
9876,No,Urban,Yes,7,17,Female,Other relative,Single/Never Married,Primary education,Other Income
9877,No,Rural,Yes,8,18,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
9878,No,Rural,Yes,3,59,Female,Head of Household,Widowed,No formal education,Farming and Fishing
9879,No,Urban,No,4,30,Male,Parent,Divorced/Seperated,Primary education,Self employed
9880,No,Rural,Yes,4,27,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
9881,No,Urban,Yes,1,42,Female,Head of Household,Married/Living together,Primary education,Informally employed
